identity_key,reading_type,reading_name,source_label,display_ref,canonical_mt_ref,canonical_lxx_ref,source_convention,canonicalization_confidence,canonicalization_note,spans_json
rid_2ad67b5dadf3bf68c7b7,scripture,,Ps 136:2,Ps 136:2 (LXX Ps 135:2),Ps 136:2,Ps 135:2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 135:2"", ""canonical_mt_ref"": ""Ps 136:2"", ""chapter_end"": 136, ""chapter_start"": 136, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 136:2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 2}]"
rid_96d99e2152a5205a2630,scripture,,Ps 137,Ps 137 (LXX Ps 136),Ps 137,Ps 136,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 136"", ""canonical_mt_ref"": ""Ps 137"", ""chapter_end"": 137, ""chapter_start"": 137, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 137"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": null, ""verse_start"": null}]"
rid_1da16a018b8c2593d83a,scripture,,Ps 138,Ps 138 (LXX Ps 137),Ps 138,Ps 137,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137"", ""canonical_mt_ref"": ""Ps 138"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": null, ""verse_start"": null}]"
rid_53ccb134c7bd127203cf,scripture,,Ps 138:1,Ps 138:1 (LXX Ps 137:1),Ps 138:1,Ps 137:1,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137:1"", ""canonical_mt_ref"": ""Ps 138:1"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138:1"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 1, ""verse_start"": 1}]"
rid_3e62e1b53bdc96843a32,scripture,,Ps 138:1-2,Ps 138:1-2 (LXX Ps 137:1-2),Ps 138:1-2,Ps 137:1-2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137:1-2"", ""canonical_mt_ref"": ""Ps 138:1-2"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138:1-2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 1}]"
rid_b485b49e49a7545afb60,scripture,,Ps 138:1-3,Ps 138:1-3 (LXX Ps 137:1-3),Ps 138:1-3,Ps 137:1-3,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137:1-3"", ""canonical_mt_ref"": ""Ps 138:1-3"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138:1-3"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 3, ""verse_start"": 1}]"
rid_52829206e33dbdbebfdf,scripture,,Ps 138:2,Ps 138:2 (LXX Ps 137:2),Ps 138:2,Ps 137:2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137:2"", ""canonical_mt_ref"": ""Ps 138:2"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138:2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 2}]"
rid_dd4c4ee2a6b0e591191c,scripture,,Ps 138:3,Ps 138:3 (LXX Ps 137:3),Ps 138:3,Ps 137:3,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 137:3"", ""canonical_mt_ref"": ""Ps 138:3"", ""chapter_end"": 138, ""chapter_start"": 138, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 138:3"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 3, ""verse_start"": 3}]"
rid_c0a7ef5744704386078e,scripture,,Ps 139:17-18,Ps 139:17-18 (LXX Ps 138:17-18),Ps 139:17-18,Ps 138:17-18,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 138:17-18"", ""canonical_mt_ref"": ""Ps 139:17-18"", ""chapter_end"": 139, ""chapter_start"": 139, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 139:17-18"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 18, ""verse_start"": 17}]"
rid_af9f6ba2c99b7c7140cc,scripture,,Ps 13:1,Ps 13:1 (LXX Ps 12:1),Ps 13:1,Ps 12:1,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 12:1"", ""canonical_mt_ref"": ""Ps 13:1"", ""chapter_end"": 13, ""chapter_start"": 13, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 13:1"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 1, ""verse_start"": 1}]"
rid_5db4b96a17540fc3a191,scripture,,"Ps 13:1,13:6","Ps 13:1,13:6 (LXX Ps 12:1; Ps 12:6)","Ps 13:1,13:6",Ps 12:1; Ps 12:6,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 12:1; Ps 12:6"", ""canonical_mt_ref"": ""Ps 13:1,13:6"", ""chapter_end"": 13, ""chapter_start"": 13, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 13:1,13:6"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 1, ""verse_start"": 1}, {""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 12:1; Ps 12:6"", ""canonical_mt_ref"": ""Ps 13:1,13:6"", ""chapter_end"": 13, ""chapter_start"": 13, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 13:1,13:6"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 6, ""verse_start"": 6}]"
