study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
amos-3-4-covenant-accountability,Old Testament,Amos,3,Amos 3; Amos 4,Amos 3:1-11,rid_d9aa414c906f6cccaa02,wednesday-eve,Wednesday Eve,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the Cross and the Lord's willing suffering,,1
amos-3-4-covenant-accountability,Old Testament,Amos,3,Amos 3; Amos 4,Amos 4:4-13,rid_f23108743b2fcb166bc2,great-thursday-eve,Great Thursday Eve,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the descent of the Holy Spirit and the trial of the heart,,1
amos-3-4-covenant-accountability,Old Testament,Amos,3,Amos 3; Amos 4,Amos 4:4-13,rid_f23108743b2fcb166bc2,wednesday-eve,Wednesday Eve,,Pascha / Holy Week,Third Hour,Third Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the descent of the Holy Spirit and the trial of the heart,,1
amos-5-seek-me-and-live,Old Testament,Amos,5,Amos 5,Amos 5:18-27,rid_628304aab06e6513191b,wednesday-eve,Wednesday Eve,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the descent of the Holy Spirit and the trial of the heart,,1
amos-5-seek-me-and-live,Old Testament,Amos,5,Amos 5,Amos 5:6-14,rid_c73b635100bd6b70fcc0,monday-eve,Monday Eve,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the late call to repentance and mercy,,1
amos-5-seek-me-and-live,Old Testament,Amos,5,Amos 5,Amos 5:6-14,rid_c73b635100bd6b70fcc0,tuesday-eve,Tuesday Eve,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the late call to repentance and mercy,,1
amos-7-8-visions-and-famine-of-the-word,Old Testament,Amos,7,Amos 7; Amos 8,Amos 8:9-12,rid_30b1ce8f518a66a02e22,good-friday,Good Friday,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT4,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the Cross and the Lord's willing suffering,,1
amos-9-sifted-people-and-restored-booth-of-david,Old Testament,Amos,9,Amos 9,"Amos 9:4-5,9:7-10",rid_027380b484c903e50881,good-friday,Good Friday,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the descent of the Holy Spirit and the trial of the heart,,1
amos-9-sifted-people-and-restored-booth-of-david,Old Testament,Amos,9,Amos 9,Amos 9:8-10,rid_37d3df227f76d85086d8,good-friday,Good Friday,,Pascha / Holy Week,Third Hour,Third Hour,OT5,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the descent of the Holy Spirit and the trial of the heart,,1
amos-9-sifted-people-and-restored-booth-of-david,Old Testament,Amos,9,Amos 9,Amos 9:4-6,rid_71b6ff712e8b6696be78,good-friday,Good Friday,,Pascha / Holy Week,Third Hour,Third Hour,OT5,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the descent of the Holy Spirit and the trial of the heart,,1
baruch-1-2-confession-in-exile,Deuterocanonical,Baruch,1,Baruch 1; Baruch 2,Bar 2:11-16,rid_e0586304d8ad566c6c0a,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,missing,,current_public_or_local_reference,local package snapshot,,,1
