reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,mesra-16-01,The Assumption of the Body of the Pure Virgin St. Mary,collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,mesra-16-01,The Assumption of the Body of the Pure Virgin St. Mary,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,the-feast-of-the-ascension,The Feast of the Ascension,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,the-feast-of-the-ascension,The Feast of the Ascension,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no source for link,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,the-feast-of-the-ascension,The Feast of the Ascension,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,the-first-sunday-of-kiak,The first Sunday of Kiak,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,the-first-sunday-of-kiak,The first Sunday of Kiak,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,toba-21,Toba 21,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,toba-21,Toba 21,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,tubah-21-01,"1.The Dormition of Our Lady, the Virgin Mary, the Theotokos",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
