reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
no source for link,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),sunday-of-the-second-week-of-great-lent,Sunday of the second week of Great Lent,missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),tuesday-of-the-third-week-of-the-holy-fifty-days,Tuesday of the third week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
no source for link,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_6dcf6122d785e98450f1,Ps 57:1 (LXX Ps 56:1),wednesday-of-the-seventh-week-of-great-lent,Wednesday of the seventh week of Great Lent,missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5209; source_ref=Ps 57:1-1
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_b59b86e26b1a6db5d4c4,Ps 57 (LXX Ps 56),daily-hours,daily_hours,missing,,Agpeya,Sixth Hour (Sext),Sixth Hour (Sext),psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 35; source_ref=Ps 57
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_b59b86e26b1a6db5d4c4,Ps 57 (LXX Ps 56),optional-prayers,optional_prayers,missing,,Agpeya,Veil Prayer,Veil Prayer,psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 35; source_ref=Ps 57
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_c9d2dc558948427bb070,Ps 57:5 (LXX Ps 56:5),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5857; source_ref=Ps 57:5
no source for link,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_c9d2dc558948427bb070,Ps 57:5 (LXX Ps 56:5),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5857; source_ref=Ps 57:5
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_c9d2dc558948427bb070,Ps 57:5 (LXX Ps 56:5),tuesday-of-the-third-week-of-the-holy-fifty-days,Tuesday of the third week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5857; source_ref=Ps 57:5
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_cc15ce13f98e5f2d0b2b,Ps 57:6 (LXX Ps 56:6),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5854; source_ref=Ps 57:6
no source for link,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_cc15ce13f98e5f2d0b2b,Ps 57:6 (LXX Ps 56:6),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5854; source_ref=Ps 57:6
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_dc24b402aa587520a855,Ps 57:9 (LXX Ps 56:9),wednesday-of-the-third-week-of-the-holy-fifty-days,Wednesday of the third week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2020&g_month=05&g_day=06; cache/copticchurch_html:row 1159; source_ref=Ps 57:9
no 69 collection_type match,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_ef5f385943acafa7a912,Ps 57:9-10 (LXX Ps 56:9-10),babah-03-01,"The Departure of St. Simon II, 51st Pope of the See of St. Mark",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 4596; source_ref=Ps 57:9-10
missing or inferred bridge_basis,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_f769ff00124fdc2449f8,Ps 57:8-9 (LXX Ps 56:8-9),the-third-sunday-of-baba,The third Sunday of Baba,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2022&g_month=10&g_day=30; cache/copticchurch_html:row 10456; source_ref=Ps 57:8-9
no 69 collection_type match,psalm-57-lxx-56-under-the-shadow-of-thy-wings,rid_f769ff00124fdc2449f8,Ps 57:8-9 (LXX Ps 56:8-9),the-third-sunday-of-baba,The third Sunday of Baba,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2022&g_month=10&g_day=30; cache/copticchurch_html:row 10456; source_ref=Ps 57:8-9
missing or inferred bridge_basis,psalm-58-lxx-57-judge-rightly-you-sons-of-men,rid_536eb23be781b53a4cd0,Ps 58:2 (LXX Ps 57:2),great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,out/data/pascha_day_hour_index.csv:row 118; source_ref=Ps 58:2; Ps 68:21; Matt 26:36-46; Mark 14:32-42; Luke 22:40-46; John 18:3-9
no source for link,psalm-58-lxx-57-judge-rightly-you-sons-of-men,rid_536eb23be781b53a4cd0,Ps 58:2 (LXX Ps 57:2),great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,out/data/pascha_day_hour_index.csv:row 118; source_ref=Ps 58:2; Ps 68:21; Matt 26:36-46; Mark 14:32-42; Luke 22:40-46; John 18:3-9
no 69 collection_type match,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_218712f04967122eab54,Ps 59:10 (LXX Ps 58:10),abib-04-01,The Commemoration of the Relocation of the Relics of Sts. Apakir and John,collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 4885; source_ref=Ps 59:10
missing or inferred bridge_basis,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_3c38610c0fba00c21e18,"Ps 59:9-10,59:17 (LXX Ps 58:9-10; Ps 58:17)",the-fourth-sunday-of-abib,The fourth Sunday of Abib,missing,,Annual / fixed or ordinary cycle,Vespers,,Psalm,"https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=30; cache/copticchurch_html:row 13186; source_ref=Ps 59:9-10,59:17"
no 69 collection_type match,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_3c38610c0fba00c21e18,"Ps 59:9-10,59:17 (LXX Ps 58:9-10; Ps 58:17)",the-fourth-sunday-of-abib,The fourth Sunday of Abib,missing,,Annual / fixed or ordinary cycle,Vespers,,Psalm,"https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=30; cache/copticchurch_html:row 13186; source_ref=Ps 59:9-10,59:17"
no 69 collection_type match,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_4793130b222e96d2d41f,Ps 59:17 (LXX Ps 58:17),abib-04-01,The Commemoration of the Relocation of the Relics of Sts. Apakir and John,collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 4886; source_ref=Ps 59:17
missing or inferred bridge_basis,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_4c448abd6b7a623e2919,"Ps 59:1,69:20 (LXX Ps 58:1; Ps 68:20)",good-friday-eve,Good Friday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 12866; source_ref=Ps 59:1,69:20"
no source for link,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_4c448abd6b7a623e2919,"Ps 59:1,69:20 (LXX Ps 58:1; Ps 68:20)",good-friday-eve,Good Friday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 12866; source_ref=Ps 59:1,69:20"
missing or inferred bridge_basis,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_71e7910ac7d138e71853,Ps 59:16-17 (LXX Ps 58:16-17),wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,First Hour,First Hour,Psalm,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 6406; source_ref=Ps 59:16-17
no source for link,psalm-59-lxx-58-deliver-me-from-bloody-men,rid_71e7910ac7d138e71853,Ps 59:16-17 (LXX Ps 58:16-17),wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,First Hour,First Hour,Psalm,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 6406; source_ref=Ps 59:16-17
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_074f82179a447e761e63,"Ps 6:2-3,69:17 (LXX Ps 6:2-3,69:17; Ps 68:17)",wednesday,Wednesday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8419; source_ref=Ps 6:2-3,69:17"
no source for link,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_074f82179a447e761e63,"Ps 6:2-3,69:17 (LXX Ps 6:2-3,69:17; Ps 68:17)",wednesday,Wednesday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8419; source_ref=Ps 6:2-3,69:17"
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_6a749188726ed430761c,Ps 6:2-3,wednesday,Wednesday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,out/data/pascha_day_hour_index.csv:row 77; source_ref=Ps 6:2-3; Ps 69:17; John 12:27-36
no source for link,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_6a749188726ed430761c,Ps 6:2-3,wednesday,Wednesday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Psalm,out/data/pascha_day_hour_index.csv:row 77; source_ref=Ps 6:2-3; Ps 69:17; John 12:27-36
no 69 collection_type match,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_7723bfeb2b6e2371de51,Ps 6:1,baunah-03-01,The Construction of the first church of St. George in the cities of Birma and Beer Maa (Water Well) in the Oases,collection-type,medium,Annual / fixed or ordinary cycle,vespers_psalm,,vespers_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 4831; source_ref=Ps 6:1
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_7727752ced614b97f28b,Ps 6:1-2 (LXX Ps 6:2-3),great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5071; source_ref=Ps 6:1-2
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_7727752ced614b97f28b,Ps 6:1-2 (LXX Ps 6:2-3),unction-of-the-sick,unction_of_the_sick,missing,,Special service,first_prayer,,first_prayer,sources/katameros-api/Core/KatamerosDatabase.db:row 5071; source_ref=Ps 6:1-2
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_7727752ced614b97f28b,Ps 6:1-2 (LXX Ps 6:2-3),wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5071; source_ref=Ps 6:1-2
no source for link,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_7727752ced614b97f28b,Ps 6:1-2 (LXX Ps 6:2-3),wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5071; source_ref=Ps 6:1-2
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_920a10655ce726a83e08,Ps 6:2,the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Vespers,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=06&g_day=25; cache/copticchurch_html:row 12813; source_ref=Ps 6:2
no 69 collection_type match,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_920a10655ce726a83e08,Ps 6:2,the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Vespers,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=06&g_day=25; cache/copticchurch_html:row 12813; source_ref=Ps 6:2
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_ac62ecd4006efded40cc,Ps 6,daily-hours,daily_hours,missing,,Agpeya,First Hour (Prime / Morning Prayer),First Hour (Prime / Morning Prayer),psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 6; source_ref=Ps 6
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_ac62ecd4006efded40cc,Ps 6,midnight-prayer,midnight_prayer,missing,,Agpeya,Midnight Prayer - First Watch,Midnight Prayer - First Watch,psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 6; source_ref=Ps 6
missing or inferred bridge_basis,psalm-6-lxx-6-tears-healing-and-the-eighth-day,rid_ac62ecd4006efded40cc,Ps 6,optional-prayers,optional_prayers,missing,,Agpeya,Veil Prayer,Veil Prayer,psalm,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf; build_agpeya_reference.py curated rows:row 6; source_ref=Ps 6
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_6e253ac6c4b3599de1a2,Ps 60:7 (LXX Ps 59:7),the-fourth-sunday-of-paona,The fourth Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12885; source_ref=Ps 60:7
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_6e253ac6c4b3599de1a2,Ps 60:7 (LXX Ps 59:7),the-fourth-sunday-of-paona,The fourth Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12885; source_ref=Ps 60:7
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_6e253ac6c4b3599de1a2,Ps 60:7 (LXX Ps 59:7),the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12885; source_ref=Ps 60:7
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_6e253ac6c4b3599de1a2,Ps 60:7 (LXX Ps 59:7),the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12885; source_ref=Ps 60:7
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),baramhat-10-01,Commemoration Of the Appearance Of The Glorious Cross,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),friday-of-the-second-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Friday of the second week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),mesra-12-01,The Commemoration of the Honorable Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),mesra-12-01,The Commemoration of the Honorable Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),monday-of-the-sixth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Monday of the sixth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),monday-of-the-third-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Monday of the third week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),saturday-of-the-third-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Saturday of the third week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),sunday-of-the-fifth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Sunday of the fifth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),sunday-of-the-fourth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Sunday of the fourth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),thursday-of-the-fifth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Thursday of the fifth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),thursday-of-the-fourth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Thursday of the fourth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),tuesday-of-the-second-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Tuesday of the second week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),tuesday-of-the-third-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Tuesday of the third week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),wednesday-of-the-fifth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Wednesday of the fifth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_71286498cd3ffc4c9e96,Ps 60:4-5 (LXX Ps 59:4-5),wednesday-of-the-fourth-week-of-great-lent-br-feast-of-the-cross-readings-of-10th-baramhat,Wednesday of the fourth week of Great Lent <br>(Feast of the Cross - Readings of 10th Baramhat),missing,,Great Lent,Matins,,Psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 2387; source_ref=Ps 60:4-5
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_926102e42b36bf0d2767,Ps 60:4 (LXX Ps 59:4),the-fourth-sunday-of-paona,The fourth Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12884; source_ref=Ps 60:4
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_926102e42b36bf0d2767,Ps 60:4 (LXX Ps 59:4),the-fourth-sunday-of-paona,The fourth Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12884; source_ref=Ps 60:4
missing or inferred bridge_basis,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_926102e42b36bf0d2767,Ps 60:4 (LXX Ps 59:4),the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12884; source_ref=Ps 60:4
no 69 collection_type match,psalm-60-lxx-59-the-banner-given-to-those-who-fear-thee,rid_926102e42b36bf0d2767,Ps 60:4 (LXX Ps 59:4),the-third-sunday-of-paona,The third Sunday of Paona,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=02; cache/copticchurch_html:row 12884; source_ref=Ps 60:4
no 69 collection_type match,psalm-61-lxx-60-lead-me-to-the-rock-that-is-higher-than-i,rid_2cd04e32de642e573200,Ps 61:5 (LXX Ps 60:5),baunah-03-01,The Construction of the first church of St. George in the cities of Birma and Beer Maa (Water Well) in the Oases,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5367; source_ref=Ps 61:5
missing or inferred bridge_basis,psalm-61-lxx-60-lead-me-to-the-rock-that-is-higher-than-i,rid_2cd04e32de642e573200,Ps 61:5 (LXX Ps 60:5),great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5367; source_ref=Ps 61:5
no 69 collection_type match,psalm-61-lxx-60-lead-me-to-the-rock-that-is-higher-than-i,rid_3a18cf29b656d87215d6,Ps 61:5-8 (LXX Ps 60:5-8),baunah-04-01,The Martyrdom of St. Shenousi (Sanusi),collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 4846; source_ref=Ps 61:5-8
missing or inferred bridge_basis,psalm-61-lxx-60-lead-me-to-the-rock-that-is-higher-than-i,rid_525552a0a58e739b8fbb,Ps 61:1 (LXX Ps 60:1),great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,liturgy_psalm,,liturgy_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 5366; source_ref=Ps 61:1
no 69 collection_type match,psalm-61-lxx-60-lead-me-to-the-rock-that-is-higher-than-i,rid_55a7cb8e72c29a6a8f73,Ps 61:1-3 (LXX Ps 60:1-3),abib-15-01,The Departure of St. Ephraem El-Soriani (The Syrian),collection-type,medium,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=22; cache/copticchurch_html:row 13103; source_ref=Ps 61:1-3
